init_node,term_node,travelTime,flow
1,3,3.49,402.1
1,5,3.140420888542478,25.66
1,6,3.551031914893617,28.2
1,7,3.890176848874598,12.44
1,8,4.340000000000001,16.64
1,9,5.690110719677907,19.87
1,10,5.47083112290009,33.93
1,11,6.021060056428858,24.81
1,12,7.3206932688432085,24.81
1,13,6.490395749358742,27.29
1,14,8.670139860139862,15.73
1,15,7.150861547763,33.08
1,16,9.840975000000002,24.0
1,17,9.980005037783377,19.85
1,18,10.34,7.463
1,19,11.430000000000001,19.06
1,20,13.162181818181818,3.308
1,22,9.6,3.366
1,23,5.69,37.35
1,24,7.720795821934842,40.21
1,25,4.48,30.75
1,26,4.4,26.5
1,27,3.67,21.6
1,28,4.9902947962061015,39.01
1,29,3.8899999999999997,47.52
1,30,4.120363864491845,39.85
1,31,4.760288484275243,42.29
1,32,3.5206319334389855,50.49
1,33,9.052438391699091,30.85
1,34,8.091035869929604,29.83
1,35,6.390427977016049,50.47
1,36,6.300194714881781,43.14
1,37,4.73085411292634,69.78
1,38,10.913503311258276,15.1
1,39,9.72,4.962
1,40,10.72,19.87
1,41,7.580217477263741,50.58
1,42,7.450000000000002,21.5
1,43,7.960000000000002,6.617
1,44,5.800897185006775,66.43
1,45,6.460000000000001,18.21
1,46,12.77368580060423,3.308
1,47,12.090000000000002,3.366
1,48,13.290000000000003,4.212
1,49,11.450000000000003,14.89
1,50,9.8,9.098
1,51,9.55,9.963
1,52,8.440000000000001,5.001
1,53,7.290000000000001,17.41
1,54,14.700000000000003,2.519
1,55,13.240000000000002,0.827
1,57,13.15256097560976,0.827
1,59,12.460000000000004,1.654
1,60,10.730000000000004,0.827
1,61,10.090000000000003,6.617
1,62,9.560000000000002,7.444
1,63,10.690000000000003,17.37
1,64,9.860000000000003,13.23
1,65,10.54,15.71
1,68,12.910000000000004,13.33
1,69,13.760000000000003,1.654
1,70,11.790000000000004,4.135
1,71,13.190000000000005,9.925
1,72,15.270000000000001,10.75
