origin,destination,link_origin,link_destination,time,flow
1,2,1,2,6.000818452880582,100.00000000000014
1,3,1,3,4.008689916211114,100.00000000000014
1,4,1,3,4.008689916211114,499.9999999999998
1,4,3,4,4.269782415148585,499.9999999999998
1,5,1,3,4.008689916211114,200.00000000000028
1,5,3,4,4.269782415148585,200.00000000000028
1,5,4,5,2.315659100694459,200.00000000000028
1,6,1,2,6.000818452880582,300.00000000000017
1,6,2,6,6.576130787147305,300.00000000000017
1,7,1,2,6.000818452880582,499.98612297927536
1,7,1,3,4.008689916211114,0.013877020724229444
1,7,2,6,6.576130787147305,499.98612297927536
1,7,3,4,4.269782415148585,0.013877020724229444
1,7,4,5,2.315659100694459,0.013877020724229444
1,7,5,9,9.654236173558854,0.013877020724229444
1,7,6,8,14.69516096437463,499.98612297927536
1,7,8,7,5.502973243158477,499.9999999999998
1,7,9,8,15.032877769402075,0.013877020724229444
1,8,1,2,6.000818452880582,799.9777967668425
1,8,1,3,4.008689916211114,0.0222032331587671
1,8,2,6,6.576130787147305,799.9777967668425
1,8,3,4,4.269782415148585,0.0222032331587671
1,8,4,5,2.315659100694459,0.0222032331587671
1,8,5,9,9.654236173558854,0.0222032331587671
1,8,6,8,14.69516096437463,799.9777967668425
1,8,9,8,15.032877769402075,0.0222032331587671
1,9,1,3,4.008689916211114,499.9999999999998
1,9,3,4,4.269782415148585,499.9999999999998
1,9,4,5,2.315659100694459,499.9999999999998
1,9,5,9,9.654236173558854,499.9999999999998
1,10,1,3,4.008689916211114,1300.0000000000018
1,10,3,4,4.269782415148585,1299.8301035425375
1,10,3,12,4.0202428925312805,0.16989645746455112
1,10,4,5,2.315659100694459,1299.5712538619828
1,10,4,11,7.137926542559301,0.2588496805556875
1,10,5,9,9.654236173558854,1299.5712538619828
1,10,9,10,5.68365966534739,1299.5712538619828
1,10,11,10,12.202807252371969,0.42874613802023914
1,10,12,11,13.732499192417755,0.16989645746455112
1,11,1,3,4.008689916211114,499.9999999999998
1,11,3,4,4.269782415148585,499.90982474631977
1,11,3,12,4.0202428925312805,0.09017525367974027
1,11,4,11,7.137926542559301,499.90982474631977
1,11,12,11,13.732499192417755,0.09017525367974027
1,12,1,3,4.008689916211114,200.00000000000028
1,12,3,12,4.0202428925312805,200.00000000000028
1,13,1,3,4.008689916211114,499.9999999999998
1,13,3,12,4.0202428925312805,499.9999999999998
1,13,12,13,3.0228523235200404,499.9999999999998
1,14,1,3,4.008689916211114,300.00000000000017
1,14,3,4,4.269782415148585,299.9375686353582
1,14,3,12,4.0202428925312805,0.062431364642381686
1,14,4,11,7.137926542559301,299.9375686353582
1,14,11,14,13.694700531148948,299.9916737875655
