OD PAIRS
init_node	term_node	demand
init_node	term_node	flow	travelTimeOnLink
55	23	0.08
55	104	0.08	0.7535317686829064
104	112	0.08	22.500267912109443
112	138	0.08	22.500267912109443
138	234	0.08	22.500267912109443
179	193	0.08	11.441184532682763
182	179	0.08	11.582894112529631
191	182	0.08	14.774074664596707
193	221	0.08	4.83937362409467
204	191	0.08	13.058224658297808
211	204	0.08	4.6093550248798545
213	214	0.08	4.441783598133208
214	215	0.08	1.7895254927155786
215	254	0.08	1.637145175397994
221	233	0.08	7.236495367308864
228	211	0.08	4.6093550248798545
233	23	0.08	0.7537989319595444
234	274	0.08	3.130135163522299
244	228	0.08	5.575526571892931
252	244	0.08	10.005696976709888
253	213	0.08	3.8439084052305343
254	278	0.08	5.0402313620185435
270	252	0.08	13.831288207146368
274	253	0.08	3.8439084052305343
278	325	0.08	4.745392241043253
295	270	0.08	13.831288207146368
325	295	0.08	14.873046746188297

