OD PAIRS
init_node	term_node	demand
init_node	term_node	flow	travelTimeOnLink
11	48	56160.0
11	1343	14347.905772383672	0.7619842898259812
11	1579	41812.094227616326	0.7505826173288783
1341	1469	14347.905772383672	4.315536457860489
1343	1341	14347.905772383672	0.8332087730206974
1455	1467	56160.0	12.325304949842621
1456	1455	14347.905772383672	6.901762325116202
1467	1509	56160.0	12.325304949842621
1468	1455	41812.094227616326	2.397874177467444
1469	1456	14347.905772383672	6.901762325116202
1489	1468	41812.094227616326	2.003580359623876
1509	1533	56160.0	12.325304949842621
1533	1559	56160.0	23.73461157288131
1534	1489	41812.094227616326	2.003580359623876
1549	1534	41812.094227616326	2.003580359623876
1559	1590	56160.0	7.40126505348168
1560	1549	41812.094227616326	2.003580359623876
1579	1560	41812.094227616326	2.003580359623876
1590	1593	56160.0	21.330332683859083
1593	48	56160.0	0.7916520813425197

