OD PAIRS
init_node	term_node	demand
init_node	term_node	flow	travelTimeOnLink
21	38	0.74
19	350	0.74	0.0
20	144	0.74	0.0
21	131	0.74	0.0
24	97	0.74	0.0
26	283	0.74	0.0
27	251	0.74	0.0
28	68	0.74	0.0
35	282	0.74	0.0
52	20	0.74	0.0
58	52	0.74	9.68883617653557
68	27	0.74	0.0
97	107	0.74	4.006713721616225
107	28	0.74	0.0
131	24	0.74	0.0
144	19	0.74	0.0
148	149	0.74	0.33543902739113907
149	317	0.74	0.6708790611003667
150	148	0.74	5.333999360853941
247	150	0.74	0.33612013230847104
251	26	0.74	0.0
282	334	0.74	2.345186841174634
283	336	0.74	3.7224113601052706
311	314	0.74	4.025272353966023
314	38	0.74	0.0
315	316	0.74	1.341757115882645
316	311	0.74	2.0126361769830114
317	315	0.74	1.0063180884915057
334	58	0.74	13.066042838836223
336	35	0.74	0.0
350	247	0.74	14.060655828375618

