OD PAIRS
init_node	term_node	demand
init_node	term_node	flow	travelTimeOnLink
15	25	1.55
2	242	1.55	0.0
14	187	1.55	0.0
15	122	1.55	0.0
23	137	1.55	0.0
88	138	1.55	2.045982777041896
122	14	1.55	0.0
131	23	1.55	0.0
137	139	1.55	19.78297472167759
138	131	1.55	4.432962342593645
139	25	1.55	0.0
187	2	1.55	0.0
214	215	1.55	1.0124101788934396
215	216	1.55	2.77586088302982
216	222	1.55	10.409477010177199
221	88	1.55	7.0868712522540775
222	221	1.55	3.374700258841406
241	214	1.55	41.71756039806544
242	241	1.55	12.515267493656255

