OD PAIRS
init_node	term_node	demand
init_node	term_node	flow	travelTimeOnLink
9	6	2.69
9	289	2.69	0.0
10	295	2.69	0.0
16	100	2.69	0.0
21	131	2.69	0.0
24	97	2.69	0.0
32	159	2.69	0.0
74	86	2.69	1.682905104481866
79	74	2.69	1.1158901372993832
86	101	2.69	4.375552059961418
97	107	2.69	4.006711352687544
100	32	2.69	0.0
101	106	2.69	1.9127431506389043
106	16	2.69	0.0
107	79	2.69	12.453494945885797
131	24	2.69	0.0
159	333	2.69	10.105866102411515
238	21	2.69	0.0
289	299	2.69	23.378960913633787
295	238	2.69	35.82496232505324
299	10	2.69	0.0
333	6	2.69	0.0

