Mean,Variance
1,2
2,2
3,2
4,0.666667
5,1
6,1.33333
7,1.33333
8,1.33333
9,1.33333
10,1.33333
11,1.33333
12,1.33333
13,1.33333
14,1.33333
15,1.33333
16,1.33333
17,1.33333
18,1.33333
19,1.33333
20,1.33333
21,1.33333
22,1.33333
23,1.33333
24,1.33333
25,1.33333
26,1.33333
27,1.33333
28,1.33333
29,1.33333
30,1.33333
31,1.33333
32,1.33333
33,1.33333
34,1.33333
35,1.33333
36,1.33333
37,1.33333
38,1.33333
39,1.33333
40,1.33333
41,1.33333
42,1.33333
43,1.33333
44,1.33333
45,1.33333
46,1.33333
47,1.33333
48,1.33333
49,1.33333
50,1.33333
51,1.33333
52,1.33333
53,1.33333
54,1.33333
55,1.33333
56,1.33333
57,1.33333
58,1.33333
59,1.33333
60,1.33333
61,1.33333
62,1.33333
63,1.33333
64,1.33333
65,1.33333
66,1.33333
67,1.33333
68,1.33333
69,1.33333
70,1.33333
71,1.33333
72,1.33333
73,1.33333
74,1.33333
75,1.33333
76,1.33333
77,1.33333
78,1.33333
79,1.33333
80,1.33333
81,1.33333
82,1.33333
83,1.33333
84,1.33333
85,1.33333
86,1.33333
87,1.33333
88,1.33333
89,1.33333
90,1.33333
91,1.33333
92,1.33333
93,1.33333
94,1.33333
95,1.33333
96,1.33333
97,1.33333
98,1.33333
99,1.33333
100,1.33333
101,1.33333
102,1.33333
103,1.33333
104,1.33333
105,1.33333
106,1.33333
107,1.33333
108,1.33333
109,1.33333
110,1.33333
111,1.33333
112,1.33333
113,1.33333
114,1.33333
115,1.33333
116,1.33333
117,1.33333
118,1.33333
119,1.33333
120,1.33333
121,1.33333
122,1.33333
123,1.33333
124,1.33333
125,1.33333
126,1.33333
127,1.33333
128,1.33333
129,1.33333
130,1.33333
131,1.33333
132,1.33333
133,1.33333
134,1.33333
135,1.33333
136,1.33333
137,1.33333
138,1.33333
139,1.33333
140,1.33333
141,1.33333
142,1.33333
143,1.33333
144,1.33333
145,1.33333
146,1.33333
147,1.33333
148,1.33333
149,1.33333
150,1.33333
151,1.33333
152,1.33333
153,1.33333
154,1.33333
