Total Travel Time:	997946.441250295
Cost function used:	BPRcostFunction
User equilibrium (UE) or system optimal (SO):	SO

init_node	term_node	flow	travelTime
1	183	861.3800000000036	0.0
1	294	0.0	0.0
1	296	0.0	0.0
1	297	0.0	0.0
2	187	1039.7968031872626	0.0
2	242	687.6070207500477	0.0
2	243	782.2190221577363	0.0
2	245	338.64856542258957	0.0
3	200	0.0	0.0
3	235	958.619999999999	0.0
3	318	0.0	0.0
3	320	0.0	0.0
4	67	618.9742309629193	0.0
4	153	617.0309368820283	0.0
4	156	504.0313700731233	0.0
4	304	0.0	0.0
5	169	0.0	0.0
5	170	844.8378025358403	0.0
5	181	678.1262907209328	0.0
5	184	171.2682959369171	0.0
6	173	201.1505927917703	0.0
6	177	263.98151241557446	0.0
6	331	114.25304086614675	0.0
6	333	0.0	0.0
7	278	0.0	0.0
7	280	0.0	0.0
7	281	37.72714031251621	0.0
7	340	380.4010853999059	0.0
8	145	924.1008637221697	0.0
8	325	0.0	0.0
8	327	163.22945831257877	0.0
8	328	0.0	0.0
9	237	0.0	0.0
9	288	0.0	0.0
9	289	505.67000000000024	0.0
9	290	0.0	0.0
10	295	884.9300000000002	0.0
10	298	491.4600000000008	0.0
10	299	0.0	0.0
10	301	0.0	0.0
11	236	0.0	0.0
11	295	1714.7047099263748	0.0
11	300	0.0	0.0
11	310	0.0	0.0
12	71	515.8337542118975	0.0
12	93	0.0	0.0
12	96	0.0	0.0
12	135	599.9735807605772	0.0
13	73	941.8044532109989	0.0
13	75	0.0	0.0
13	77	408.175267972174	0.0
13	78	0.0	0.0
14	122	882.9367839000062	0.0
14	123	0.0	0.0
14	186	0.0	0.0
14	187	2154.597483491087	0.0
15	122	1972.5132896472255	0.0
15	123	0.0	0.0
15	124	0.0	0.0
15	125	0.0	0.0
16	100	136.12673656857805	0.0
16	102	710.5316445178858	0.0
16	104	0.0	0.0
16	106	1327.7690034871885	0.0
17	219	0.0	0.0
17	220	0.0	0.0
17	224	8.836582993263127	0.0
17	225	785.102667754123	0.0
18	49	0.0	0.0
18	50	1028.018307137512	0.0
18	57	0.0	0.0
18	230	258.10867788659004	0.0
19	143	0.0	0.0
19	144	248.90708929637387	0.0
19	146	0.0	0.0
19	350	642.7217549752244	0.0
20	52	0.0	0.0
20	53	271.2392183417642	0.0
20	144	713.4576239895907	0.0
20	152	0.0	0.0
21	131	907.7133541301399	0.0
21	136	396.493984479609	0.0
21	238	227.6213535907177	0.0
21	284	0.0	0.0
22	130	0.0	0.0
22	132	0.0	0.0
22	134	0.0	0.0
22	139	292.3000000000002	0.0
23	131	238.6806591820665	0.0
23	136	186.12934081793347	0.0
23	137	564.3059115653338	0.0
23	284	0.0	0.0
24	97	587.2538372301203	0.0
24	99	489.0655536528422	0.0
24	131	750.4893316801913	0.0
24	133	0.0	0.0
25	135	445.6839455369138	0.0
25	139	516.8322950759618	0.0
25	140	0.0	0.0
25	166	0.0	0.0
26	249	0.0	0.0
26	251	1081.354166860983	0.0
26	254	0.0	0.0
26	283	1035.2166750709246	0.0
27	68	1524.6750954112663	0.0
27	85	0.0	0.0
27	251	1041.2259838940452	0.0
27	255	0.0	0.0
28	68	761.1725076264464	0.0
28	69	817.3952679721737	0.0
28	70	0.0	0.0
28	107	1213.160525478075	0.0
29	252	399.3100000000006	0.0
29	264	572.2300000000013	0.0
29	265	0.0	0.0
29	266	0.0	0.0
30	257	17.19999999999995	0.0
30	258	248.27999999999975	0.0
30	260	0.0	0.0
30	341	0.0	0.0
31	110	0.0	0.0
31	111	0.0	0.0
31	119	816.1609060850228	0.0
31	141	613.4370757624821	0.0
32	100	265.24408118659807	0.0
32	157	0.0	0.0
32	158	0.0	0.0
32	159	364.3381609861709	0.0
33	39	510.60721893915826	0.0
33	174	0.0	0.0
33	178	224.75977556573213	0.0
33	273	634.8322298833743	0.0
34	139	56.02946074919004	0.0
34	140	0.0	0.0
34	160	771.0055467890047	0.0
34	166	0.0	0.0
35	268	432.51971889666737	0.0
35	282	762.3769561742579	0.0
35	335	0.0	0.0
35	336	0.0	0.0
36	257	17.170000000000112	0.0
36	258	142.09999999999988	0.0
36	260	0.0	0.0
36	341	0.0	0.0
37	161	0.0	0.0
37	162	1018.6161813636998	0.0
37	291	0.0	0.0
37	292	488.7872692101162	0.0
38	314	223.83999999999972	0.0
39	33	952.3960827367927	0.0
39	40	592.7479061793065	0.7921020867613354
39	48	0.0784802645311144	1.333333
40	42	1333.2608262687315	0.7009388310594215
40	155	287.50538704810174	8.420115597537546
41	39	1034.615250241467	1.0186416082508976
41	178	0.0	2.666667
42	41	254.64713431047062	1.0064089241977172
42	100	1606.989750933462	5.542488213318246
43	228	0.0	13.333333
44	45	171.38914999130708	0.6666843379318208
45	46	32.31377753339464	1.3333330236514311
45	208	139.07537245791346	11.333460794925607
46	51	331.4143993864519	0.6669094094167424
46	57	32.31377753339464	3.6666670650414575
47	82	0.0	6.0
48	49	0.0784802645311144	9.0
49	18	634.9107101479041	0.0
49	50	0.0	0.666667
49	51	0.0	17.333333
50	18	0.0	0.0
50	40	1028.018307137512	10.181706837380656
50	49	0.0	0.666667
51	44	133.66200967879055	1.66667565463303
51	274	197.75238970765915	4.000184374979884
52	20	654.4425531362667	0.0
52	53	0.0	9.666667
53	20	0.0	0.0
53	54	271.2392183417642	1.0417642738789061
53	90	0.0	17.333333
54	53	0.0	1.0
54	55	271.2392183417642	6.667254065520154
55	59	271.2392183417642	10.667606304814635
56	45	0.0	16.666667
57	18	32.31377753339464	0.0
57	50	0.0	6.0
58	52	654.4425531362667	9.695515999344101
58	59	107.93440303799159	1.6666738177872538
59	229	271.2392183417642	0.6667257065784333
59	329	107.93440303799159	10.000040906715341
60	61	0.0	3.333333
62	64	0.0	2.333333
63	62	0.0	3.0
64	153	0.0	0.666667
64	199	618.9742309629193	6.026545845303655
65	66	0.0	1.666667
66	60	0.0	3.0
67	4	0.0	0.0
67	64	618.9742309629193	1.0044243075506092
67	65	0.0	2.666667
68	27	761.1725076264464	0.0
68	28	1524.6750954112663	0.0
68	69	0.0	7.333333
69	28	0.0	0.0
69	75	817.3952679721737	6.043576024029719
70	28	941.8044532109989	0.0
70	74	0.0	21.666667
71	12	695.2233894355637	0.0
71	72	0.0	1.333333
71	78	453.7444532110016	5.337011001412066
71	263	239.81117953751033	0.33336622852357867
72	71	408.175267972174	1.668061410408231
72	93	0.0	10.333333
72	135	0.0	5.333333
73	13	0.0	0.0
73	70	941.8044532109989	6.4143998235779485
74	85	701.1044048178779	3.0117928808860945
74	86	778.732488604738	1.67663871565903
75	13	817.3952679721737	0.0
75	77	0.0	6.666667
76	92	0.0	8.333333
77	13	0.0	0.0
77	72	408.175267972174	16.67419367873294
