origin,destination,naive,gcd,inequity
1,2,55,55,"[1.3595504132231437, 1.039656198347109, 0.7159537190082654, 1.4357157024793412, 0.47603305785124045, 1.1881785123966961, 1.2681520661157044, 0.29704462809917404, 1.4166743801652917, 0.8568595041322333, 0.9216000000000016, 1.401441322314052, 0.20183801652892602, 1.3024264462809942, 1.1424793388429775, 0.5598148760330587, 1.4395239669421516, 0.6397884297520673, 1.0929719008264482, 1.3328925619834733, 0.10282314049586798, 1.3824000000000023, 0.9825322314049608, 0.7883107438016546, 1.4280991735537216, 0.38844297520661236, 1.2300694214876056, 1.2300694214876053, 0.3884429752066124, 1.4280991735537205, 0.7883107438016547, 0.9825322314049602, 1.3824000000000025, 0.10282314049586797, 1.3328925619834733, 1.0929719008264485, 0.639788429752067, 1.4395239669421518, 0.5598148760330587, 1.142479338842977, 1.302426446280994, 0.20183801652892605, 1.4014413223140514, 0.9216000000000019, 0.856859504132233, 1.4166743801652915, 0.29704462809917426, 1.268152066115705, 1.1881785123966966, 0.4760330578512406, 1.4357157024793417, 0.7159537190082653, 1.0396561983471095, 1.3595504132231435, 1.8175355256292112e-25]"
1,3,76,76,"[0.4272187499999943, 0.2658249999999965, 0.3071687499999958, 0.4115999999999945, 0.06706874999999911, 0.4373249999999942, 0.21896874999999713, 0.34299999999999536, 0.3904687499999948, 0.12862499999999827, 0.4419187499999942, 0.1665999999999978, 0.37331874999999504, 0.3638249999999952, 0.18466874999999755, 0.4409999999999942, 0.10871874999999857, 0.3981249999999948, 0.3316687499999955, 0.2351999999999969, 0.43456874999999434, 0.045324999999999414, 0.4174187499999945, 0.2939999999999961, 0.2802187499999963, 0.42262499999999453, 0.02296874999999969, 0.4311999999999942, 0.2508187499999967, 0.3197249999999958, 0.4051687499999947, 0.08819999999999883, 0.43946874999999413, 0.2021249999999973, 0.3537187499999953, 0.38219999999999493, 0.1479187499999981, 0.4422249999999941, 0.14791874999999802, 0.382199999999995, 0.35371874999999525, 0.2021249999999973, 0.4394687499999942, 0.08819999999999883, 0.4051687499999946, 0.31972499999999576, 0.25081874999999676, 0.4311999999999943, 0.022968749999999708, 0.4226249999999944, 0.28021874999999635, 0.29399999999999615, 0.41741874999999456, 0.0453249999999994, 0.43456874999999434, 0.2351999999999969, 0.3316687499999955, 0.3981249999999948, 0.1087187499999986, 0.4409999999999942, 0.18466874999999755, 0.36382499999999524, 0.373318749999995, 0.16659999999999772, 0.4419187499999942, 0.1286249999999983, 0.3904687499999948, 0.3429999999999955, 0.21896874999999716, 0.4373249999999943, 0.06706874999999911, 0.41159999999999447, 0.3071687499999959, 0.26582499999999654, 0.42721874999999443, 1.2621774483536189e-27]"
1,4,0,0,
1,5,0,0,
1,6,0,0,
1,7,8,8,"[1.3500000000000063, 1.0800000000000052, 0.630000000000003, 1.4400000000000068, 0.630000000000003, 1.0800000000000052, 1.3500000000000063, 8.077935669463161e-28]"
1,8,7,7,"[1.4106122448979659, 0.7053061224489827, 1.175510204081638, 1.1755102040816383, 0.7053061224489827, 1.4106122448979659, 3.2311742677852644e-27]"
1,9,40,40,"[3.5099999999999993, 3.6399999999999997, 0.39, 3.3600000000000003, 3.75, 0.76, 3.19, 3.84, 1.11, 3.0, 3.91, 1.44, 2.79, 3.96, 1.75, 2.56, 3.9899999999999998, 2.04, 2.3099999999999996, 4.0, 2.31, 2.04, 3.9899999999999998, 2.56, 1.75, 3.9599999999999995, 2.79, 1.44, 3.91, 3.0, 1.1099999999999999, 3.8400000000000007, 3.1900000000000004, 0.7600000000000001, 3.75, 3.3600000000000003, 0.38999999999999996, 3.6400000000000006, 3.5100000000000002, 1.2924697071141057e-26]"
1,10,29,29,"[3.4244946492271096, 3.766944114149822, 1.0273483947681332, 2.9298454221165273, 3.95719381688466, 1.902497027348395, 2.282996432818073, 3.9952437574316284, 2.6254458977407853, 1.4839476813317483, 3.881093935790725, 3.1961950059453037, 0.5326991676575503, 3.614744351961951, 3.6147443519619507, 0.5326991676575504, 3.1961950059453033, 3.8810939357907244, 1.4839476813317476, 2.6254458977407844, 3.9952437574316293, 2.282996432818074, 1.902497027348395, 3.957193816884661, 2.9298454221165278, 1.0273483947681334, 3.766944114149822, 3.4244946492271104, 6.911683707184417e-26]"
1,11,70,70,"[3.529795918367346, 3.6048979591836723, 0.22530612244897957, 3.4481632653061225, 3.6734693877551017, 0.4440816326530612, 3.36, 3.735510204081633, 0.656326530612245, 3.26530612244898, 3.791020408163266, 0.8620408163265306, 3.16408163265306, 3.8399999999999994, 1.0612244897959182, 3.0563265306122456, 3.882448979591837, 1.2538775510204083, 2.9420408163265295, 3.9183673469387754, 1.4399999999999997, 2.821224489795919, 3.9477551020408157, 1.6195918367346938, 2.693877551020408, 3.970612244897959, 1.7926530612244895, 2.56, 3.986938775510204, 1.9591836734693882, 2.419591836734693, 3.996734693877549, 2.119183673469388, 2.272653061224489, 4.0, 2.272653061224489, 2.119183673469387, 3.9967346938775514, 2.4195918367346922, 1.9591836734693888, 3.9869387755102026, 2.559999999999999, 1.7926530612244904, 3.9706122448979597, 2.693877551020408, 1.6195918367346942, 3.9477551020408166, 2.821224489795918, 1.4400000000000002, 3.9183673469387745, 2.9420408163265312, 1.2538775510204085, 3.882448979591837, 3.0563265306122442, 1.0612244897959178, 3.8400000000000016, 3.16408163265306, 0.8620408163265307, 3.7910204081632646, 3.2653061224489783, 0.6563265306122448, 3.735510204081634, 3.360000000000001, 0.4440816326530611, 3.673469387755101, 3.4481632653061234, 0.22530612244897952, 3.6048979591836745, 3.5297959183673484, 6.793543898018518e-25]"
1,12,0,0,
1,13,11,11,"[59.253241322314146, 96.57109256198368, 131.48857190082674, 161.09658842975242, 185.78786942148798, 185.787869421488, 161.09658842975244, 131.48857190082674, 96.57109256198372, 59.25324132231415, 2.0194839173657902e-28]"
1,14,94,47,"[1.3611226799456795, 1.0325758261656874, 0.7301041195110922, 1.4341330918967885, 0.44849253055681365, 1.2046717971933023, 1.251607062019015, 0.3441919420552294, 1.4237030330466303, 0.8135445903123601, 0.9647804436396579, 1.3871978270710754, 0.11994567677682239, 1.3298325033952039, 1.0951561792666382, 0.6414486192847454, 1.4393481213218673, 0.5475780896333191, 1.1525215029425098, 1.293327297419649, 0.23467632412856537, 1.4080579447713928, 0.8917700316885483, 0.8917700316885483, 1.408057944771392, 0.23467632412856534, 1.2933272974196495, 1.15252150294251, 0.5475780896333193, 1.4393481213218675, 0.6414486192847454, 1.0951561792666384, 1.3298325033952036, 0.11994567677682233, 1.3871978270710754, 0.9647804436396579, 0.8135445903123598, 1.4237030330466303, 0.3441919420552291, 1.251607062019015, 1.2046717971933023, 0.448492530556814, 1.4341330918967887, 0.7301041195110923, 1.0325758261656874, 1.3611226799456795, 0.12255319148936192, 1.3611226799456795, 1.0325758261656874, 0.7301041195110923, 1.4341330918967878, 0.4484925305568137, 1.2046717971933019, 1.2516070620190152, 0.34419194205522907, 1.4237030330466298, 0.8135445903123601, 0.964780443639658, 1.3871978270710748, 0.11994567677682233, 1.3298325033952039, 1.0951561792666382, 0.6414486192847452, 1.439348121321867, 0.547578089633319, 1.1525215029425102, 1.2933272974196495, 0.23467632412856537, 1.408057944771392, 0.8917700316885485, 0.8917700316885485, 1.408057944771392, 0.2346763241285653, 1.293327297419649, 1.15252150294251, 0.547578089633319, 1.4393481213218675, 0.6414486192847452, 1.0951561792666384, 1.3298325033952034, 0.11994567677682223, 1.3871978270710754, 0.9647804436396573, 0.8135445903123601, 1.4237030330466303, 0.34419194205522924, 1.2516070620190154, 1.2046717971933023, 0.4484925305568138, 1.4341330918967887, 0.7301041195110923, 1.0325758261656874, 1.3611226799456788, 1.0761829795642296e-24]"
1,15,25,5,"[1.3824000000000027, 0.9216000000000015, 0.9216000000000016, 1.3824000000000027, 0.4608000000000008, 1.3824000000000027, 0.9216000000000016, 0.9216000000000016, 1.3824000000000023, 0.4608000000000008, 1.3824000000000027, 0.9216000000000016, 0.9216000000000015, 1.3824000000000023, 0.4608000000000008, 1.3824000000000023, 0.9216000000000016, 0.9216000000000016, 1.3824000000000023, 0.4608000000000008, 1.3824000000000023, 0.9216000000000016, 0.9216000000000015, 1.3824000000000023, 7.888609052210118e-27]"
1,16,11,11,"[60.38925123966946, 92.92651404958687, 123.77127933884312, 150.01445619834726, 173.0233173553721, 173.0233173553721, 150.01445619834726, 123.77127933884313, 92.92651404958687, 60.38925123966946, 1.63578197306629e-26]"
1,17,31,31,"[1.366576482830391, 1.0069510926118674, 0.7791883454734688, 1.426514047866812, 0.3476378772112398, 1.2586888657648343, 1.186763787721129, 0.5034755463059338, 1.4385015608740963, 0.6473257023933434, 1.1028511966701406, 1.3186264308012547, 0.17981269510926207, 1.402539021852244, 0.8990634755463103, 0.8990634755463104, 1.4025390218522436, 0.17981269510926215, 1.3186264308012547, 1.1028511966701402, 0.6473257023933432, 1.4385015608740956, 0.5034755463059338, 1.186763787721129, 1.2586888657648343, 0.34763787721124, 1.4265140478668124, 0.7791883454734688, 1.0069510926118677, 1.3665764828303908, 1.1058693931495067e-24]"
1,18,10,5,"[1.3824000000000065, 0.9216000000000042, 0.9216000000000044, 1.3824000000000063, 1.1520000000000055, 1.3824000000000063, 0.9216000000000044, 0.9216000000000044, 1.3824000000000067, 7.270142102516845e-27]"
1,19,0,0,
1,20,0,0,
1,21,12,12,"[55.25854097222225, 92.29578055555568, 129.01881875000015, 162.76098888888907, 193.88229097222245, 204.25605833333358, 193.88229097222245, 162.76098888888907, 129.01881875000018, 92.29578055555565, 55.25854097222227, 1.8175355256292112e-27]"
1,22,19,19,"[37.26197950138507, 61.11060221606656, 89.71184709141289, 109.44765096952925, 130.30959279778415, 153.98188310249333, 165.420311357341, 178.2122459833798, 178.7703185595571, 178.77031855955707, 178.2122459833798, 165.42031135734098, 153.98188310249333, 130.30959279778412, 109.44765096952925, 89.71184709141288, 61.11060221606657, 37.26197950138506, 3.2311742677852644e-27]"
1,23,42,42,"[48.39130912698417, 83.37491746031753, 110.06713928571438, 128.454088888889, 135.37398531746044, 133.00710476190494, 120.59154246031763, 98.23015555555573, 97.20383452380972, 120.5715031746034, 143.4239472222225, 165.86402380952413, 177.32792341269874, 182.3356460317464, 184.60516309523845, 184.23933174603212, 170.777199603175, 180.22537142857186, 181.96200436507985, 187.1472222222227, 190.6019773809529, 187.1472222222227, 181.96200436507985, 180.22537142857186, 170.77719960317498, 184.23933174603212, 184.60516309523848, 182.33564603174642, 177.32792341269874, 165.86402380952413, 143.4239472222225, 120.5715031746034, 97.20383452380969, 98.23015555555573, 120.59154246031764, 133.00710476190488, 135.37398531746047, 128.454088888889, 110.06713928571442, 83.37491746031753, 48.39130912698416, 9.895471195092372e-27]"
1,24,48,48,"[43.068592664930584, 74.52450815972227, 98.84452148437511, 118.68314930555569, 127.27383328993072, 128.46942343750015, 123.74814474826405, 106.48833055555569, 80.55498085937516, 78.7872081597224, 99.1499041232641, 119.84750625000025, 141.6366812065975, 150.1657623263892, 158.36308294270864, 166.31864305555587, 159.7356676649309, 151.542490104167, 141.07244370659757, 150.7679743055559, 158.18663606770872, 168.56187065972264, 172.92034474826434, 171.35205833333382, 172.92034474826428, 168.56187065972267, 158.18663606770872, 150.7679743055559, 141.07244370659757, 151.54249010416697, 159.7356676649309, 166.31864305555587, 158.36308294270864, 150.16576232638917, 141.6366812065975, 119.84750625000027, 99.1499041232641, 78.78720815972238, 80.55498085937516, 106.48833055555572, 123.74814474826405, 128.46942343750013, 127.27383328993069, 118.68314930555569, 98.84452148437511, 74.52450815972229, 43.06859266493058, 4.543838814073028e-26]"
1,25,0,0,
1,26,7,7,"[3.4773387755102, 4.066040816326528, 2.3832489795918295, 2.38324897959183, 4.066040816326528, 3.477338775510201, 3.2311742677852644e-27]"
1,27,4,4,"[3.0, 4.0, 3.0, 0.0]"
1,28,7,7,"[3.4773387755102, 4.066040816326528, 2.3832489795918295, 2.38324897959183, 4.066040816326528, 3.477338775510201, 3.2311742677852644e-27]"
1,29,9,9,"[70.90946666666673, 111.98668888888902, 147.10780000000017, 176.7528000000002, 176.75280000000024, 147.1078000000002, 111.986688888889, 70.90946666666672, 5.0487097934144756e-27]"
1,30,7,7,"[3.477338775510201, 4.066040816326527, 2.3832489795918295, 2.3832489795918295, 4.066040816326527, 3.477338775510201, 1.8175355256292112e-27]"
1,31,29,29,"[1.356099881093942, 1.0547443519619548, 0.6848989298454254, 1.4382877526753934, 0.5342211652794319, 1.1506302021403148, 1.3013079667063083, 0.19177170035671914, 1.397193816884668, 0.9451605231866873, 0.8218787158145107, 1.4245897740784847, 0.3698454221165296, 1.2328180737217658, 1.2328180737217658, 0.3698454221165296, 1.424589774078484, 0.8218787158145106, 0.9451605231866869, 1.3971938168846676, 0.19177170035671914, 1.301307966706308, 1.1506302021403148, 0.5342211652794316, 1.438287752675393, 0.6848989298454254, 1.054744351961955, 1.356099881093942, 2.908056841006738e-26]"
1,32,4,4,"[3.0, 4.0, 3.0, 0.0]"
1,33,8,8,"[1.3500000000000063, 1.0800000000000052, 0.630000000000003, 1.4400000000000068, 0.630000000000003, 1.0800000000000052, 1.3500000000000063, 8.077935669463161e-28]"
1,34,19,19,"[37.26197950138507, 61.11060221606656, 89.71184709141289, 109.44765096952925, 130.30959279778415, 153.98188310249333, 165.420311357341, 178.2122459833798, 178.7703185595571, 178.77031855955707, 178.2122459833798, 165.42031135734098, 153.98188310249333, 130.30959279778412, 109.44765096952925, 89.71184709141288, 61.11060221606657, 37.26197950138506, 3.2311742677852644e-27]"
1,35,0,0,
1,36,0,0,
1,37,0,0,
1,38,0,0,
2,1,56,56,"[1.968944387755107, 2.5103989795918444, 2.254710204081639, 0.6330530612244918, 1.7766382653061281, 2.404162244897966, 2.1521928571428623, 0.959208673469389, 1.7326668367346976, 2.353495918367353, 2.094831632653065, 1.2585846938775522, 1.6619158163265333, 2.2760500000000046, 2.010690816326534, 1.5311811224489815, 1.5643852040816353, 2.1718244897959234, 1.899770408163269, 1.7769979591836769, 1.4400750000000033, 2.0408193877551075, 1.7620704081632699, 1.9960352040816385, 1.2889852040816374, 1.8830346938775582, 1.597590816326537, 2.249814285714294, 1.597590816326537, 1.8830346938775582, 1.2889852040816372, 1.9960352040816385, 1.7620704081632699, 2.0408193877551075, 1.4400750000000033, 1.7769979591836769, 1.899770408163269, 2.171824489795923, 1.564385204081635, 1.5311811224489813, 2.010690816326534, 2.2760500000000046, 1.6619158163265335, 1.2585846938775522, 2.094831632653065, 2.353495918367353, 1.7326668367346973, 0.9592086734693889, 2.1521928571428623, 2.404162244897966, 1.7766382653061277, 0.6330530612244916, 2.254710204081639, 2.510398979591845, 1.968944387755107, 3.4129278203481855e-26]"
