OD PAIRS
init_node	term_node	demand
init_node	term_node	flow	travelTimeOnLink
1	2	22.59
1	269	22.589999999999986	0.0
13	206	14.330836618488275	0.0
20	209	14.330836618488275	0.0
21	205	22.589999999999986	0.0
25	214	14.330836618488275	0.0
204	2	8.259163381511728	0.0
205	13	14.330836618488275	0.0
205	204	8.259163381511728	14.667997600595156
206	25	14.330836618488275	0.0
209	2	14.330836618488275	0.0
214	215	14.330836618488275	14.655170986729914
215	20	14.330836618488275	0.0
266	350	22.589999999999986	14.174995585709688
269	266	22.589999999999986	5.003640556555023
349	21	22.589999999999986	0.0
350	349	22.589999999999986	12.403121801948913

1	3	18.32
1	329	18.319999999999993	0.0
4	298	18.319999999999993	0.0
16	155	18.319999999999993	0.0
155	3	18.319999999999993	0.0
194	200	18.319999999999993	5.147814968781443
199	194	18.319999999999993	2.1178500256540724
200	282	18.319999999999993	4.362793912869236
282	16	18.319999999999993	0.0
298	307	18.319999999999993	1.1656388762078842
304	199	18.319999999999993	3.928104866758355
307	308	18.319999999999993	2.8568036368516427
308	304	18.319999999999993	8.213309786385205
312	4	18.319999999999993	0.0
329	312	18.319999999999993	20.18102648863791

1	4	21.82
1	329	21.81999999999996	0.0
312	4	21.81999999999996	0.0
329	312	21.81999999999996	20.18102648863791

1	5	15.22
1	329	15.22	0.0
4	298	15.22	0.0
194	200	15.22	5.147814968781443
199	194	15.22	2.1178500256540724
200	282	15.22	4.362793912869236
270	5	15.22	0.0
271	270	15.22	5.02666694242207
278	271	15.22	0.6890116111919244
281	278	15.22	0.33345976917729075
282	289	15.22	9.744539198581787
284	281	15.22	5.712316220969426
289	284	15.22	4.032222977612361
298	307	15.22	1.1656388762078842
304	199	15.22	3.928104866758355
307	308	15.22	2.8568036368516427
308	304	15.22	8.213309786385205
312	4	15.22	0.0
329	312	15.22	20.18102648863791

1	6	3.73
1	329	3.730000000000002	0.0
4	298	3.730000000000002	0.0
71	6	3.730000000000002	0.0
194	200	3.730000000000002	5.147814968781443
196	71	3.730000000000002	16.12960539099692
199	194	3.730000000000002	2.1178500256540724
200	196	3.730000000000002	1.6667053469315907
298	307	3.730000000000002	1.1656388762078842
