Mean,Variance
3,3.55556
6,0.444444
9,1.55556
12,0.888889
15,1.33333
18,1.33333
21,1.33333
24,1.33333
27,1.33333
30,1.33333
33,1.33333
36,1.33333
39,1.33333
42,1.33333
45,1.33333
48,1.33333
51,1.33333
54,1.33333
57,1.33333
60,1.33333
63,1.33333
66,1.33333
69,1.33333
72,1.33333
75,1.33333
78,1.33333
81,1.33333
84,1.33333
87,1.33333
90,1.33333
93,1.33333
96,1.33333
99,1.33333
102,1.33333
105,1.33333
108,1.33333
111,1.33333
114,1.33333
117,1.33333
120,1.33333
123,1.33333
126,1.33333
129,1.33333
132,1.33333
135,1.33333
138,1.33333
141,1.33333
144,1.33333
147,1.33333
150,1.33333
153,1.33333
156,1.33333
159,1.33333
162,1.33333
165,1.33333
168,1.33333
171,1.33333
174,1.33333
177,1.33333
180,1.33333
183,1.33333
186,1.33333
189,1.33333
192,1.33333
195,1.33333
198,1.33333
201,1.33333
204,1.33333
207,1.33333
210,1.33333
213,1.33333
216,1.33333
219,1.33333
222,1.33333
225,1.33333
228,1.33333
231,1.33333
234,1.33333
237,1.33333
240,1.33333
243,1.33333
246,1.33333
249,1.33333
252,1.33333
255,1.33333
258,1.33333
261,1.33333
264,1.33333
267,1.33333
270,1.33333
273,1.33333
276,1.33333
279,1.33333
282,1.33333
285,1.33333
288,1.33333
291,1.33333
294,1.33333
297,1.33333
300,1.33333
303,1.33333
306,1.33333
309,1.33333
312,1.33333
315,1.33333
318,1.33333
321,1.33333
324,1.33333
327,1.33333
330,1.33333
333,1.33333
336,1.33333
339,1.33333
342,1.33333
345,1.33333
348,1.33333
351,1.33333
354,1.33333
357,1.33333
360,1.33333
363,1.33333
366,1.33333
369,1.33333
372,1.33333
375,1.33333
378,1.33333
381,1.33333
384,1.33333
387,1.33333
390,1.33333
393,1.33333
396,1.33333
399,1.33333
402,1.33333
405,1.33333
408,1.33333
411,1.33333
414,1.33333
417,1.33333
420,1.33333
423,1.33333
426,1.33333
429,1.33333
432,1.33333
435,1.33333
438,1.33333
441,1.33333
444,1.33333
447,1.33333
450,1.33333
453,1.33333
456,1.33333
459,1.33333
462,1.33333
465,1.33333
468,1.33333
471,1.33333
474,1.33333
477,1.33333
480,1.33333
483,1.33333
486,1.33333
489,1.33333
492,1.33333
495,1.33333
498,1.33333
501,1.33333
504,1.33333
507,1.33333
510,1.33333
513,1.33333
516,1.33333
519,1.33333
522,1.33333
525,1.33333
528,1.33333
531,1.33333
534,1.33333
537,1.33333
540,1.33333
543,1.33333
546,1.33333
549,1.33333
552,1.33333
555,1.33333
558,1.33333
561,1.33333
564,1.33333
567,1.33333
570,1.33333
573,1.33333
576,1.33333
579,1.33333
582,1.33333
585,1.33333
588,1.33333
591,1.33333
594,1.33333
597,1.33333
600,1.33333
603,1.33333
606,1.33333
609,1.33333
612,1.33333
615,1.33333
618,1.33333
621,1.33333
624,1.33333
627,1.33333
630,1.33333
633,1.33333
636,1.33333
639,1.33333
642,1.33333
645,1.33333
648,1.33333
651,1.33333
654,1.33333
657,1.33333
660,1.33333
663,1.33333
666,1.33333
669,1.33333
672,1.33333
675,1.33333
678,1.33333
681,1.33333
684,1.33333
687,1.33333
690,1.33333
693,1.33333
696,1.33333
699,1.33333
702,1.33333
705,1.33333
708,1.33333
711,1.33333
714,1.33333
717,1.33333
720,1.33333
723,1.33333
726,1.33333
729,1.33333
732,1.33333
735,1.33333
738,1.33333
741,1.33333
744,1.33333
747,1.33333
750,1.33333
753,1.33333
756,1.33333
759,1.33333
762,1.33333
765,1.33333
768,1.33333
771,1.33333
774,1.33333
777,1.33333
780,1.33333
783,1.33333
786,1.33333
789,1.33333
792,1.33333
795,1.33333
798,1.33333
801,1.33333
804,1.33333
807,1.33333
810,1.33333
813,1.33333
816,1.33333
819,1.33333
822,1.33333
825,1.33333
828,1.33333
831,1.33333
834,1.33333
837,1.33333
840,1.33333
843,1.33333
846,1.33333
849,1.33333
852,1.33333
855,1.33333
858,1.33333
861,1.33333
864,1.33333
867,1.33333
870,1.33333
873,1.33333
876,1.33333
879,1.33333
882,1.33333
885,1.33333
888,1.33333
891,1.33333
894,1.33333
897,1.33333
900,1.33333
903,1.33333
906,1.33333
909,1.33333
912,1.33333
915,1.33333
918,1.33333
921,1.33333
924,1.33333
927,1.33333
930,1.33333
933,1.33333
936,1.33333
939,1.33333
942,1.33333
945,1.33333
948,1.33333
951,1.33333
954,1.33333
957,1.33333
960,1.33333
963,1.33333
966,1.33333
969,1.33333
972,1.33333
975,1.33333
978,1.33333
981,1.33333
984,1.33333
987,1.33333
990,1.33333
993,1.33333
996,1.33333
999,1.33333
1002,1.33333
1005,1.33333
1008,1.33333
1011,1.33333
1014,1.33333
1017,1.33333
1020,1.33333
1023,1.33333
1026,1.33333
1029,1.33333
1032,1.33333
1035,1.33333
1038,1.33333
1041,1.33333
1044,1.33333
1047,1.33333
1050,1.33333
1053,1.33333
1056,1.33333
1059,1.33333
1062,1.33333
1065,1.33333
1068,1.33333
1071,1.33333
1074,1.33333
1077,1.33333
1080,1.33333
1083,1.33333
1086,1.33333
1089,1.33333
1092,1.33333
1095,1.33333
1098,1.33333
1101,1.33333
1104,1.33333
1107,1.33333
1110,1.33333
1113,1.33333
1116,1.33333
1119,1.33333
1122,1.33333
1125,1.33333
1128,1.33333
1131,1.33333
1134,1.33333
1137,1.33333
1140,1.33333
1143,1.33333
1146,1.33333
1149,1.33333
1152,1.33333
1155,1.33333
1158,1.33333
1161,1.33333
1164,1.33333
1167,1.33333
1170,1.33333
1173,1.33333
1176,1.33333
1179,1.33333
1182,1.33333
1185,1.33333
1188,1.33333
1191,1.33333
1194,1.33333
1197,1.33333
1200,1.33333
1203,1.33333
1206,1.33333
1209,1.33333
1212,1.33333
1215,1.33333
1218,1.33333
1221,1.33333
1224,1.33333
1227,1.33333
1230,1.33333
1233,1.33333
1236,1.33333
1239,1.33333
1242,1.33333
1245,1.33333
1248,1.33333
1251,1.33333
1254,1.33333
1257,1.33333
1260,1.33333
1263,1.33333
1266,1.33333
1269,1.33333
1272,1.33333
1275,1.33333
1278,1.33333
1281,1.33333
1284,1.33333
1287,1.33333
1290,1.33333
1293,1.33333
1296,1.33333
1299,1.33333
1302,1.33333
1305,1.33333
1308,1.33333
1311,1.33333
1314,1.33333
1317,1.33333
1320,1.33333
1323,1.33333
1326,1.33333
1329,1.33333
1332,1.33333
1335,1.33333
1338,1.33333
1341,1.33333
1344,1.33333
1347,1.33333
1350,1.33333
1353,1.33333
1356,1.33333
1359,1.33333
1362,1.33333
1365,1.33333
1368,1.33333
1371,1.33333
1374,1.33333
1377,1.33333
1380,1.33333
1383,1.33333
1386,1.33333
1389,1.33333
1392,1.33333
1395,1.33333
1398,1.33333
1401,1.33333
1404,1.33333
1407,1.33333
1410,1.33333
1413,1.33333
1416,1.33333
1419,1.33333
1422,1.33333
1425,1.33333
1428,1.33333
1431,1.33333
1434,1.33333
1437,1.33333
1440,1.33333
1443,1.33333
1446,1.33333
1449,1.33333
1452,1.33333
1455,1.33333
1458,1.33333
1461,1.33333
1464,1.33333
1467,1.33333
1470,1.33333
1473,1.33333
1476,1.33333
1479,1.33333
1482,1.33333
1485,1.33333
1488,1.33333
1491,1.33333
1494,1.33333
1497,1.33333
1500,1.33333
1503,1.33333
1506,1.33333
1509,1.33333
1512,1.33333
1515,1.33333
1518,1.33333
1521,1.33333
1524,1.33333
1527,1.33333
1530,1.33333
1533,1.33333
1536,1.33333
1539,1.33333
1542,1.33333
1545,1.33333
1548,1.33333
1551,1.33333
1554,1.33333
1557,1.33333
1560,1.33333
